[tensor(23276.1211), tensor(21663.8633)]
[tensor(23655.6152), tensor(21284.3613)]
[tensor(23875.0273), tensor(21065.0137)]
[tensor(23321.4004), tensor(21618.5859)]
[tensor(24176.5469), tensor(20763.3457)]
[tensor(21663.1191), tensor(23276.9531)]
[tensor(22317.4258), tensor(22622.5859)]
[tensor(21341.2578), tensor(23598.8242)]
[tensor(21848.1309), tensor(23091.8516)]
[tensor(21919.5898), tensor(23020.3555)]
[tensor(22459.6523), tensor(22480.2930)]
[tensor(22419.1406), tensor(22520.8457)]
[tensor(22344.6758), tensor(22595.3613)]
[tensor(22607.5801), tensor(22332.3477)]
[tensor(22427.0820), tensor(22512.8164)]
[tensor(22313.7070), tensor(22626.2930)]
[tensor(22455.2012), tensor(22484.6875)]
[tensor(22491.9375), tensor(22447.9199)]
[tensor(22463.7246), tensor(22476.1719)]
[tensor(22472.4863), tensor(22467.3965)]
[tensor(22459.5391), tensor(22480.4082)]
[tensor(22460.8574), tensor(22479.1035)]
[tensor(22467.5000), tensor(22472.4707)]
[tensor(22467.4258), tensor(22472.5352)]
[tensor(22468.2754), tensor(22471.6895)]
[tensor(22467.9863), tensor(22471.9590)]
[tensor(22466.5566), tensor(22473.3828)]
[tensor(22467.4883), tensor(22472.4844)]
[tensor(22468.1309), tensor(22471.8457)]
[tensor(22468.6504), tensor(22471.3164)]
[tensor(22468.6367), tensor(22471.3281)]
[tensor(22465.9512), tensor(22474.0215)]
[tensor(22465.5234), tensor(22474.4629)]
[tensor(22466.2266), tensor(22473.7559)]
[tensor(22466.0977), tensor(22473.8809)]
[tensor(22466.4180), tensor(22473.5605)]
[tensor(22466.6211), tensor(22473.3574)]
[tensor(22468.4609), tensor(22471.5234)]
[tensor(22468.6934), tensor(22471.3027)]
[tensor(22470.7227), tensor(22469.2754)]
[tensor(22442.4199), tensor(22497.5293)]
[tensor(22644.3887), tensor(22295.6523)]
[tensor(22799.4609), tensor(22140.6074)]
[tensor(22662.1035), tensor(22277.8887)]
[tensor(22480.2480), tensor(22459.7578)]
[tensor(22341.8594), tensor(22598.1426)]
[tensor(22277.1133), tensor(22662.8906)]
[tensor(22261.1016), tensor(22678.8516)]
[tensor(22213.2324), tensor(22726.7148)]
[tensor(21630.3652), tensor(23309.6445)]
[tensor(21462.9727), tensor(23477.0332)]
[tensor(21430.9961), tensor(23509.0156)]
[tensor(21252.2891), tensor(23687.7129)]
[tensor(21264.4648), tensor(23675.5293)]
[tensor(20308.0078), tensor(24631.9434)]
[tensor(20531.8008), tensor(24408.1543)]
[tensor(20448.1113), tensor(24491.8496)]
[tensor(20324.5352), tensor(24615.4746)]
[tensor(20255.3672), tensor(24684.7129)]
[tensor(20342.7598), tensor(24597.2168)]
[tensor(21125.2734), tensor(23814.6562)]
[tensor(20752.9785), tensor(24186.9863)]
[tensor(20494.2012), tensor(24445.7051)]
[tensor(20683.2129), tensor(24256.7441)]
[tensor(21916.7910), tensor(23023.1992)]
[tensor(21935.7148), tensor(23004.2246)]
[tensor(21786.8262), tensor(23153.2188)]
[tensor(21569.2168), tensor(23370.7910)]
[tensor(22301.5898), tensor(22638.4082)]
[tensor(22404.2988), tensor(22535.7305)]
[tensor(22453.2539), tensor(22486.7559)]
[tensor(23361.5820), tensor(21578.4219)]
[tensor(23275.8262), tensor(21664.1777)]
[tensor(23232.5781), tensor(21707.4121)]
[tensor(23004.8633), tensor(21935.1172)]
[tensor(23690.6660), tensor(21249.3262)]
[tensor(23836.4062), tensor(21103.5938)]
[tensor(23850.5234), tensor(21089.4688)]
[tensor(24156.3301), tensor(20783.6797)]
[tensor(24044.8066), tensor(20895.2168)]
[tensor(22666.7754), tensor(22273.1875)]
[tensor(23231.3477), tensor(21708.7461)]
[tensor(23034.8301), tensor(21905.1660)]
[tensor(23117.7148), tensor(21822.2930)]
[tensor(23034.8867), tensor(21905.0898)]
[tensor(23067.5898), tensor(21872.4258)]
[tensor(22851.3672), tensor(22088.5684)]
[tensor(23200.3301), tensor(21739.8066)]
[tensor(22822.9766), tensor(22117.0020)]
[tensor(22839.1074), tensor(22100.8926)]
[tensor(22959.9395), tensor(21980.0410)]
[tensor(23035.1797), tensor(21904.8066)]
[tensor(22984.2324), tensor(21955.7637)]
[tensor(22914.4160), tensor(22025.5742)]
[tensor(22928.2988), tensor(22011.6797)]
[tensor(23085.0566), tensor(21854.8965)]
[tensor(23298.2480), tensor(21641.7363)]
[tensor(22627.9961), tensor(22311.9883)]
[tensor(22866.8457), tensor(22073.1562)]
[tensor(22961.8242), tensor(21978.1816)]
[tensor(23206.4648), tensor(21733.5352)]
[tensor(23363.3945), tensor(21576.6289)]
[tensor(23460.5820), tensor(21479.4082)]
[tensor(23406.2637), tensor(21533.7324)]
[tensor(23300.4941), tensor(21639.5020)]
[tensor(23313.9043), tensor(21626.1094)]
[tensor(23119.3887), tensor(21820.5781)]
[tensor(22966.6836), tensor(21973.3652)]
[tensor(23275.1016), tensor(21664.9375)]
[tensor(23298.8828), tensor(21641.1250)]
[tensor(23347.8477), tensor(21592.1426)]
[tensor(24069.1992), tensor(20870.8008)]
[tensor(24013.0352), tensor(20926.9395)]
[tensor(24061.1211), tensor(20878.8965)]
[tensor(24307.4355), tensor(20632.5859)]
[tensor(24630.8691), tensor(20309.1387)]
[tensor(24598.4746), tensor(20341.5234)]
[tensor(24300.8477), tensor(20639.1660)]
[tensor(24098.9531), tensor(20841.0293)]
[tensor(24109.6680), tensor(20830.3672)]
[tensor(23759.2773), tensor(21180.7617)]
[tensor(24168.3301), tensor(20771.6914)]
[tensor(24152.3262), tensor(20787.7090)]
[tensor(24192.7266), tensor(20747.2754)]
[tensor(24324.4082), tensor(20615.5820)]
[tensor(24007.6172), tensor(20932.3789)]
[tensor(23958.8301), tensor(20981.2148)]
[tensor(23827.8594), tensor(21112.2422)]
[tensor(23684.3027), tensor(21255.8105)]
[tensor(23904.9902), tensor(21035.1152)]
[tensor(23874.5020), tensor(21065.5898)]
[tensor(23850.5332), tensor(21089.5586)]
[tensor(23585.7129), tensor(21354.2461)]
[tensor(23654.0781), tensor(21285.9160)]
[tensor(23114.8535), tensor(21825.1738)]
[tensor(23208.0918), tensor(21731.9004)]
