[tensor(34590.8398), tensor(32819.1875)]
[tensor(34967.6016), tensor(32442.4883)]
[tensor(34599.5078), tensor(32810.3438)]
[tensor(35855.2852), tensor(31554.4883)]
[tensor(35511.3516), tensor(31898.4805)]
[tensor(35526.4844), tensor(31883.4766)]
[tensor(35078.8359), tensor(32331.0957)]
[tensor(35829.6719), tensor(31580.2129)]
[tensor(34131.8945), tensor(33278.2305)]
[tensor(34113.6250), tensor(33296.6172)]
[tensor(33946.1328), tensor(33464.0078)]
[tensor(34782.2773), tensor(32627.8027)]
[tensor(34437.4609), tensor(32972.3516)]
[tensor(35048.2500), tensor(32361.5059)]
[tensor(34620.), tensor(32790.1641)]
[tensor(34415.4336), tensor(32994.5547)]
[tensor(34582.3984), tensor(32827.6133)]
[tensor(34615.4219), tensor(32794.5547)]
[tensor(34533.9336), tensor(32876.0742)]
[tensor(34546.4062), tensor(32863.7344)]
[tensor(34517.7695), tensor(32892.3750)]
[tensor(34518.8477), tensor(32891.2422)]
[tensor(34517.0117), tensor(32892.9844)]
[tensor(34506.2773), tensor(32903.7148)]
[tensor(34502.9023), tensor(32907.0586)]
[tensor(34495.4414), tensor(32914.5000)]
[tensor(34489.6445), tensor(32920.3242)]
[tensor(34490.4141), tensor(32919.5625)]
[tensor(34486.5977), tensor(32923.3750)]
[tensor(34489.9570), tensor(32920.0352)]
[tensor(23309.9961), tensor(21630.0273)]
[tensor(20021.6152), tensor(24918.4414)]
[tensor(21478.9277), tensor(23461.0957)]
[tensor(20314.0566), tensor(24625.9668)]
[tensor(20755.6836), tensor(24184.2793)]
[tensor(21151.0645), tensor(23788.8867)]
[tensor(21219.0273), tensor(23720.9648)]
[tensor(20770.0703), tensor(24169.9160)]
[tensor(20961.1660), tensor(23978.8223)]
[tensor(21348.9922), tensor(23591.0098)]
[tensor(21438.9004), tensor(23501.0938)]
[tensor(21786.2051), tensor(23153.7617)]
[tensor(21492.9160), tensor(23447.0723)]
[tensor(21435.3691), tensor(23504.5879)]
[tensor(22246.5742), tensor(22693.3379)]
[tensor(21583.2734), tensor(23356.6699)]
[tensor(21012.0020), tensor(23928.0059)]
[tensor(21045.6562), tensor(23894.3613)]
[tensor(21926.0996), tensor(23013.8633)]
[tensor(22632.3164), tensor(22307.6660)]
[tensor(22696.9434), tensor(22242.9590)]
[tensor(22128.8711), tensor(22811.0957)]
[tensor(21122.1055), tensor(23817.8672)]
[tensor(21371.2539), tensor(23568.7188)]
[tensor(20643.1797), tensor(24296.8477)]
[tensor(21437.7930), tensor(23502.2129)]
[tensor(21718.6562), tensor(23221.2949)]
[tensor(21687.1875), tensor(23252.7266)]
[tensor(21064.0312), tensor(23875.8672)]
[tensor(20677.0254), tensor(24262.9219)]
[tensor(19695.7031), tensor(25244.2500)]
[tensor(19768.6562), tensor(25171.3887)]
[tensor(20333.8320), tensor(24606.1582)]
[tensor(20816.5879), tensor(24123.4199)]
[tensor(20797.0371), tensor(24142.9805)]
[tensor(20957.0859), tensor(23982.9258)]
[tensor(20760.2910), tensor(24179.7051)]
[tensor(20727.9355), tensor(24212.0859)]
[tensor(20588.1348), tensor(24351.8906)]
[tensor(20420.4004), tensor(24519.6074)]
[tensor(20900.9219), tensor(24039.0781)]
[tensor(21163.0059), tensor(23776.9668)]
[tensor(20387.3281), tensor(24552.6250)]
[tensor(20490.6914), tensor(24449.2734)]
[tensor(21058.9824), tensor(23881.0508)]
[tensor(21231.9785), tensor(23708.0156)]
[tensor(20530.4707), tensor(24409.5020)]
[tensor(19523.6016), tensor(25416.3809)]
[tensor(20671.7383), tensor(24268.2793)]
[tensor(20935.6641), tensor(24004.3164)]
[tensor(21015.6328), tensor(23924.3379)]
[tensor(19958.6680), tensor(24981.2949)]
[tensor(20225.0801), tensor(24714.8887)]
[tensor(20565.9766), tensor(24374.0508)]
[tensor(20435.4082), tensor(24504.6367)]
[tensor(20797.7422), tensor(24142.3242)]
[tensor(21441.1504), tensor(23498.9121)]
[tensor(21352.2637), tensor(23587.7617)]
[tensor(20758.5098), tensor(24181.4902)]
[tensor(21190.9590), tensor(23749.0586)]
