[tensor(32614.5840), tensor(34795.4727)]
[tensor(31694.9961), tensor(35714.9922)]
[tensor(31578.4453), tensor(35831.5312)]
[tensor(31494.3164), tensor(35915.8086)]
[tensor(31590.2422), tensor(35819.6836)]
[tensor(32038.2109), tensor(35371.5859)]
[tensor(32160.1250), tensor(35249.6914)]
[tensor(32798.2578), tensor(34611.5938)]
[tensor(32528.8711), tensor(34881.1875)]
[tensor(33271.4297), tensor(34138.5703)]
[tensor(33506.2617), tensor(33903.7539)]
[tensor(33924.9922), tensor(33484.9492)]
[tensor(33984.0312), tensor(33425.8555)]
[tensor(32095.9492), tensor(35313.9062)]
[tensor(32179.4297), tensor(35230.3711)]
[tensor(33244.3477), tensor(34165.6172)]
[tensor(32660.4238), tensor(34749.4961)]
[tensor(32422.6855), tensor(34987.4141)]
[tensor(32448.9922), tensor(34961.1250)]
[tensor(32469.1211), tensor(34940.8555)]
[tensor(32329.8828), tensor(35080.0312)]
[tensor(32338.3848), tensor(35071.5742)]
[tensor(32344.2695), tensor(35065.6719)]
[tensor(32249.1035), tensor(35160.9883)]
[tensor(32247.7383), tensor(35162.3711)]
[tensor(32233.0938), tensor(35176.9609)]
[tensor(32225.9297), tensor(35184.1211)]
[tensor(32219.2266), tensor(35190.8125)]
[tensor(32215.1504), tensor(35194.9141)]
[tensor(32212.5020), tensor(35197.5703)]
[tensor(32213.2539), tensor(35196.8359)]
[tensor(32213.6973), tensor(35196.3828)]
[tensor(32214.8633), tensor(35195.1797)]
[tensor(32215.1270), tensor(35194.9102)]
[tensor(32213.2012), tensor(35196.8398)]
[tensor(32214.9941), tensor(35195.0625)]
[tensor(32215.7910), tensor(35194.2148)]
[tensor(32218.0527), tensor(35191.9375)]
[tensor(32218.3320), tensor(35191.6797)]
[tensor(32218.1543), tensor(35191.8789)]
[tensor(25168.5039), tensor(19771.5469)]
[tensor(20470.2871), tensor(24469.6875)]
[tensor(20391.9238), tensor(24548.0488)]
[tensor(19147.5605), tensor(25792.5840)]
[tensor(19789.8535), tensor(25150.1797)]
[tensor(20267.7090), tensor(24672.3496)]
[tensor(20288.6426), tensor(24651.3809)]
[tensor(19970.8594), tensor(24969.2012)]
[tensor(20156.8398), tensor(24783.2793)]
[tensor(20268.9551), tensor(24671.0020)]
[tensor(20694.5723), tensor(24245.4258)]
[tensor(20772.6816), tensor(24167.4277)]
[tensor(20848.2070), tensor(24091.9316)]
[tensor(21069.9883), tensor(23870.0020)]
[tensor(20770.9590), tensor(24169.0410)]
[tensor(21405.3320), tensor(23534.6992)]
[tensor(21251.1641), tensor(23688.8906)]
[tensor(20738.0215), tensor(24201.9766)]
[tensor(20908.7500), tensor(24031.2363)]
[tensor(21263.6992), tensor(23676.2852)]
[tensor(21267.7227), tensor(23672.2051)]
[tensor(21357.9180), tensor(23582.0742)]
[tensor(21466.7461), tensor(23473.2559)]
[tensor(22216.0684), tensor(22723.9395)]
[tensor(21344.6816), tensor(23595.3242)]
[tensor(21003.7930), tensor(23936.2344)]
[tensor(20857.9844), tensor(24082.0332)]
[tensor(20951.2168), tensor(23988.7910)]
[tensor(21780.1445), tensor(23159.8906)]
[tensor(23217.4570), tensor(21722.5352)]
[tensor(21857.1348), tensor(23082.8828)]
[tensor(22595.4512), tensor(22344.6035)]
[tensor(21600.2129), tensor(23339.8027)]
[tensor(21908.6094), tensor(23031.3516)]
[tensor(22064.0020), tensor(22875.9434)]
[tensor(21498.1641), tensor(23441.7852)]
[tensor(22519.0020), tensor(22420.9492)]
[tensor(22371.6250), tensor(22568.3008)]
[tensor(21087.6211), tensor(23852.3633)]
[tensor(21726.7832), tensor(23213.1309)]
[tensor(23401.2773), tensor(21538.7461)]
[tensor(24633.7070), tensor(20306.3691)]
[tensor(24769.3613), tensor(20170.6680)]
[tensor(25259.8184), tensor(19680.2637)]
[tensor(25073.0332), tensor(19867.0547)]
[tensor(24447.0527), tensor(20493.0137)]
[tensor(24345.7090), tensor(20594.2832)]
[tensor(24217.5371), tensor(20722.4785)]
[tensor(24288.9102), tensor(20651.1133)]
[tensor(23873.4355), tensor(21066.5781)]
[tensor(23985.6602), tensor(20954.4531)]
[tensor(23717.4766), tensor(21222.5605)]
[tensor(23675.5156), tensor(21264.4453)]
[tensor(24787.8594), tensor(20152.0586)]
[tensor(24546.6836), tensor(20393.1680)]
[tensor(23262.1113), tensor(21677.8340)]
[tensor(23214.1738), tensor(21725.7773)]
[tensor(23013.2012), tensor(21926.8203)]
[tensor(23307.4941), tensor(21632.5000)]
[tensor(23015.9648), tensor(21924.0605)]
[tensor(23034.6211), tensor(21905.3770)]
[tensor(24267.2207), tensor(20672.8574)]
[tensor(23877.5234), tensor(21062.6172)]
[tensor(23675.0312), tensor(21265.0430)]
[tensor(24137.0469), tensor(20803.0078)]
[tensor(24534.7852), tensor(20405.2578)]
[tensor(24040.1699), tensor(20899.8242)]
[tensor(23226.6152), tensor(21713.4355)]
[tensor(23938.8125), tensor(21001.2051)]
[tensor(23186.1523), tensor(21753.9355)]
[tensor(23091.4355), tensor(21848.6719)]
[tensor(23374.2031), tensor(21565.9141)]
[tensor(23500.7988), tensor(21439.3574)]
[tensor(23284.9219), tensor(21655.2500)]
[tensor(22942.0645), tensor(21998.0566)]
[tensor(23534.), tensor(21406.0977)]
[tensor(23582.4141), tensor(21357.6719)]
[tensor(23212.8691), tensor(21727.1934)]
[tensor(23205.1699), tensor(21734.9180)]
[tensor(23353.4980), tensor(21586.5762)]
[tensor(23890.5098), tensor(21049.4629)]
[tensor(23318.7520), tensor(21621.1738)]
[tensor(23684.7812), tensor(21255.1406)]
[tensor(23902.6738), tensor(21037.2109)]
[tensor(23701.7031), tensor(21238.1602)]
[tensor(23042.6211), tensor(21897.2305)]
[tensor(23527.3555), tensor(21412.5527)]
[tensor(23167.5156), tensor(21772.2949)]
[tensor(23204.5840), tensor(21735.3652)]
[tensor(23583.3164), tensor(21356.7090)]
[tensor(23842.2207), tensor(21097.8848)]
[tensor(23852.7090), tensor(21087.4434)]
[tensor(23483.7637), tensor(21456.3164)]
[tensor(23573.5703), tensor(21366.4453)]
[tensor(22834.3184), tensor(22105.6680)]
[tensor(22467.6602), tensor(22472.3223)]
[tensor(23929.5957), tensor(21010.4785)]
[tensor(23657.6699), tensor(21282.4062)]
[tensor(23594.4570), tensor(21345.6406)]
[tensor(22571.7266), tensor(22368.3379)]
[tensor(23254.8066), tensor(21685.2266)]
[tensor(23602.5312), tensor(21337.4551)]
[tensor(24027.4004), tensor(20912.5684)]
[tensor(24050.1289), tensor(20889.9004)]
[tensor(22896.1074), tensor(22043.8984)]
[tensor(23165.8398), tensor(21774.2285)]
[tensor(22534.8652), tensor(22405.1602)]
[tensor(23197.6172), tensor(21742.4336)]
[tensor(23090.9082), tensor(21849.1523)]
[tensor(23096.8066), tensor(21843.2422)]
[tensor(23240.6797), tensor(21699.3848)]
[tensor(24004.6719), tensor(20935.4043)]
[tensor(23716.3691), tensor(21223.6914)]
[tensor(23822.1816), tensor(21117.8184)]
[tensor(24123.0547), tensor(20817.0488)]
[tensor(23664.6289), tensor(21275.4160)]
[tensor(23388.0391), tensor(21551.9805)]
[tensor(23405.9531), tensor(21534.0508)]
[tensor(22915.3184), tensor(22024.6875)]
[tensor(23410.7148), tensor(21529.3145)]
[tensor(24197.8281), tensor(20742.1113)]
[tensor(23454.2539), tensor(21485.7520)]
[tensor(22314.5977), tensor(22625.4062)]
[tensor(22129.7070), tensor(22810.2871)]
[tensor(23584.3320), tensor(21355.7168)]
[tensor(23270.9785), tensor(21669.0488)]
[tensor(23134.5762), tensor(21805.4648)]
[tensor(23465.1426), tensor(21474.8730)]
[tensor(23289.1543), tensor(21650.8984)]
[tensor(23269.4180), tensor(21670.6328)]
[tensor(23279.6523), tensor(21660.3906)]
[tensor(23175.9551), tensor(21764.0332)]
[tensor(23556.7539), tensor(21383.2676)]
[tensor(23245.8965), tensor(21694.0898)]
[tensor(23291.6387), tensor(21648.3379)]
[tensor(23103.0195), tensor(21836.9629)]
[tensor(23850.5117), tensor(21089.4922)]
[tensor(24117.6621), tensor(20822.3691)]
[tensor(23416.6113), tensor(21523.4023)]
[tensor(23065.8516), tensor(21874.1973)]
[tensor(22659.8867), tensor(22280.1484)]
[tensor(22276.5117), tensor(22663.5254)]
[tensor(23630.3086), tensor(21309.7383)]
[tensor(24553.0859), tensor(20387.0098)]
[tensor(22439.0625), tensor(22500.9531)]
[tensor(22795.2422), tensor(22144.8027)]
[tensor(22849.7422), tensor(22090.2969)]
[tensor(23693.7090), tensor(21246.3223)]
[tensor(23636.5527), tensor(21303.4883)]
[tensor(23297.7129), tensor(21642.2793)]
[tensor(22314.6973), tensor(22625.3203)]
[tensor(22273.8477), tensor(22666.1426)]
[tensor(22700.6074), tensor(22239.3965)]
[tensor(23582.8848), tensor(21357.1816)]
[tensor(23977.3457), tensor(20962.8809)]
[tensor(22894.1348), tensor(22045.8418)]
[tensor(22331.3730), tensor(22608.6523)]
[tensor(22072.1914), tensor(22867.8203)]
[tensor(22192.4863), tensor(22747.5352)]
[tensor(22344.4297), tensor(22595.5410)]
[tensor(20827.6621), tensor(24112.3125)]
[tensor(22525.5996), tensor(22414.4082)]
[tensor(22131.2812), tensor(22808.7383)]
[tensor(21565.2207), tensor(23374.7832)]
[tensor(20838.8184), tensor(24101.1719)]
[tensor(21178.2637), tensor(23761.7461)]
[tensor(21057.7969), tensor(23882.2266)]
[tensor(20993.3105), tensor(23946.7285)]
[tensor(21081.2520), tensor(23858.7871)]
[tensor(21136.9102), tensor(23803.1875)]
[tensor(21823.1270), tensor(23116.8633)]
[tensor(22292.7734), tensor(22647.2285)]
[tensor(21776.7656), tensor(23163.2422)]
[tensor(21662.8613), tensor(23277.2539)]
[tensor(22525.9590), tensor(22414.0859)]
[tensor(21669.4668), tensor(23270.6758)]
